included in data,Item type,Authors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Address,Book title,Proceedings title,Conference location,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Gerakios P,Fourtounis G,Smaragdakis Y",Fᴏᴏ: A Minimal Modern OO Calculus,,2015,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 17th Workshop on Formal Techniques for Java-like Programs,"Prague, Czech Republic",2015,9781450336567,,https://doi.org/10.1145/2786536.2786540;http://dx.doi.org/10.1145/2786536.2786540,10.1145/2786536.2786540,"We present the Flyweight Object-Oriented (Fᴏᴏ) calculus for the modeling of object-oriented languages. Fᴏᴏ is a simple, minimal class-based calculus, modeling only essential computational aspects and emphasizing larger-scale features (e.g., inheritance and generics). Fᴏᴏ is motivated by the observation that recent language design work focuses on elements not well-captured either by traditional object calculi or by language-specific modeling efforts, such as Featherweight Java. Fᴏᴏ integrates seamlessly both nominal and structural subtyping ideas, leveraging the latter to eliminate the need for modeling object fields and constructors. Comparing to recent formalization efforts in the literature, Fᴏᴏ is more compact, yet versatile enough to be usable in multiple settings modeling Java, C#, or Scala extensions.","object-oriented programming, type system, formal semantics, nominal types, structural types",FTfJP '15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Chanda J,Sengupta S,Kanjilal A,Bhattacharya S",Behavioral and Structural Evolution of SOA from OO: An Integrated Approach,SIGSOFT Softw. Eng. Notes,2013,38,5,1–9,Association for Computing Machinery,"New York, NY, USA",,,,2013-08,,0163-5948,https://doi.org/10.1145/2507288.2507304;http://dx.doi.org/10.1145/2507288.2507304,10.1145/2507288.2507304,"Service Oriented Architecture caters to the \Separation of Concerns\"" and incorporates reusability",granularity,modularity,componentization and interoperability. There are many software products that have been developed in the object-oriented paradigm. To incorporate the positive aspects of the service-oriented paradigm,they need to be evolved to the service-oriented domain. In this paper,we define an integrated approach towards consistent evolution of Object Oriented (OO) paradigm to the Service Oriented (SOA) domain. There are some proven Object Oriented Design Tools that can be used for Service Oriented Application design incorporating both the behavioral and structural aspects. The work in this paper involves a set of activities like formalizing the different UML diagrams,"formal mapping of object components to service level components and establishing consistency among them. We also establish a traceability model for consistent evolution of Service Oriented Applications from existing Object Oriented Applications by mapping behavioral and structural artifacts of both domains. This will establish traceability from implementation phases back to the requirements phases of an SOA application.""","evolution, service oriented architecture, formalization",,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Merunka V,Brožek J,Šebek M,Molhanec M",Normalization Rules of the Object-Oriented Data Model,,2009,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the International Workshop on Enterprises & Organizational Modeling and Simulation,"Amsterdam, The Netherlands",2009,9781450373012,,https://doi.org/10.1145/1750405.1750420;http://dx.doi.org/10.1145/1750405.1750420,10.1145/1750405.1750420,"There are only very few approaches to normalizing object-oriented data. In this paper we present an approach to normalization of the object-oriented conceptual model based on UML class diagrams. First part of the paper describes the current status in the area of formal methods used for object-oriented data modeling. Second part presents four normalization rules, which are based on own experience and modified Ambler-Beck approach. These normalization rules are introduced on an example. Our method has been used in education at several universities. It has been and is also used for database design in software development projects, which we carried out. Recently, development of the CASE tool based on this approach has been started.","object-oriented data model (ODM), fourth object-oriented normal form (4ONF), third object-oriented normal form (3ONF), second object-oriented normal form (2ONF), first object-oriented normal form (1ONF), relational data model (RDM), data normalization",EOMAS '09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Callaú O,Robbes R,Tanter É,Röthlisberger D,Bergel A",On the Use of Type Predicates in Object-Oriented Software: The Case of Smalltalk,,2014,,,135–146,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 10th ACM Symposium on Dynamic Languages,"Portland, Oregon, USA",2014,9781450332118,,https://doi.org/10.1145/2661088.2661091;http://dx.doi.org/10.1145/2661088.2661091,10.1145/2661088.2661091,"Object-orientation relies on polymorphism to express behavioral variants. As opposed to traditional procedural design, explicit type-based conditionals should be avoided. This message is conveyed in introductory material on object orientation, as well as in object-oriented reengineering patterns. Is this principle followed in practice? In other words, are type predicates actually used in object-oriented software, and if so, to which extent?Answering these questions will assist practitioners and researchers with providing information about the state of the practice, and informing the active research program of retrofitting type systems, clarifying whether complex flow-sensitive typing approaches are necessary. Other areas, such as refactoring and teaching object orientation, can also benefit from empirical evidence on the matter.We report on a study of the use of type predicates in a large base of over 4 million lines of Smalltalk code. Our study shows that type predicates are in fact widely used to do explicit type dispatch, suggesting that flow-sensitive typing approaches are necessary for a type system retrofitted for a dynamic object-oriented language.","object-oriented languages, flow-sensitive typing, type predicates",DLS '14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Callaú O,Robbes R,Tanter É,Röthlisberger D,Bergel A",On the Use of Type Predicates in Object-Oriented Software: The Case of Smalltalk,SIGPLAN Not.,2014,50,2,135–146,Association for Computing Machinery,"New York, NY, USA",,,,2014-10,,0362-1340,https://doi.org/10.1145/2775052.2661091;http://dx.doi.org/10.1145/2775052.2661091,10.1145/2775052.2661091,"Object-orientation relies on polymorphism to express behavioral variants. As opposed to traditional procedural design, explicit type-based conditionals should be avoided. This message is conveyed in introductory material on object orientation, as well as in object-oriented reengineering patterns. Is this principle followed in practice? In other words, are type predicates actually used in object-oriented software, and if so, to which extent?Answering these questions will assist practitioners and researchers with providing information about the state of the practice, and informing the active research program of retrofitting type systems, clarifying whether complex flow-sensitive typing approaches are necessary. Other areas, such as refactoring and teaching object orientation, can also benefit from empirical evidence on the matter.We report on a study of the use of type predicates in a large base of over 4 million lines of Smalltalk code. Our study shows that type predicates are in fact widely used to do explicit type dispatch, suggesting that flow-sensitive typing approaches are necessary for a type system retrofitted for a dynamic object-oriented language.","type predicates, object-oriented languages, flow-sensitive typing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Ancona D,Zucca E",Corecursive Featherweight Java,,2012,,,3–10,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 14th Workshop on Formal Techniques for Java-like Programs,"Beijing, China",2012,9781450312721,,https://doi.org/10.1145/2318202.2318205;http://dx.doi.org/10.1145/2318202.2318205,10.1145/2318202.2318205,"Despite cyclic data structures occur often in many application domains, object-oriented programming languages provide poor abstraction mechanisms for dealing with cyclic objects.Such a deficiency is reflected also in the research on theoretical foundation of object-oriented languages; for instance, Featherweigh Java (FJ), which is one of the most widespread object-oriented calculi, does not allow creation and manipulation of cyclic objects.We propose an extension to Featherweight Java, called COFJ, where it is possible to define cyclic objects, abstractly corresponding to regular terms, and where an abstraction mechanism, called regular corecursion, is provided for supporting implementation of coinductive operations on cyclic objects.We formally define the operational semantics of COFJ, and provide a handful of examples showing the expressive power of regular corecursion; such a mechanism promotes a novel programming style particularly well-suited for implementing cyclic data structures, and for supporting coinductive reasoning.","coinduction, regular terms, Java-like languages, programming paradigms",FTfJP '12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Ancona D,Corradi A",A Formal Account of SSA in Java-like Languages,,2016,,,,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 18th Workshop on Formal Techniques for Java-like Programs,"Rome, Italy",2016,9781450344395,,https://doi.org/10.1145/2955811.2955813;http://dx.doi.org/10.1145/2955811.2955813,10.1145/2955811.2955813,"Static Single Assignment (SSA) intermediate representation is widely used to optimize and compile code in imperative and object-oriented languages, but it can also be useful for static type analysis.We introduce FJSSA, a Java-like imperative calculus supporting programs in SSA form; we define its big-step operational semantics, and a judgment to statically check whether a program is in SSA form, and prove its soundness.FJSSA provides a formal basis for type analysis of programs in SSA form in object-oriented languages.","type analysis, operational semantics, object-oriented languages, SSA form",FTfJP'16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Oliveira BC,Gibbons J",Scala for Generic Programmers,,2008,,,25–36,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the ACM SIGPLAN Workshop on Generic Programming,"Victoria, BC, Canada",2008,9781605580609,,https://doi.org/10.1145/1411318.1411323;http://dx.doi.org/10.1145/1411318.1411323,10.1145/1411318.1411323,"Datatype-generic programming involves parametrization by the shape of data, in the form of type constructors such as \list of\"". Most approaches to datatype-generic programming are developed in the lazy functional programming language Haskell. We argue that the functional object-oriented language Scala is in many ways a better setting. Not only does Scala provide equivalents of all the necessary functional programming features (such parametric polymorphism",higher-order functions,higher-kinded type operations,and type- and constructor-classes),but it also provides the most useful features of object-oriented languages (such as subtyping,overriding,traditional single inheritance,and multiple inheritance in the form of traits). We show how this combination of features benefits datatype-generic programming,"using three different approaches as illustrations.""","scala, polytypic programming, datatype-generic programming",WGP '08,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Mouelhi S,Agrou K,Chouali S,Mountassir H",Object-Oriented Component-Based Design Using Behavioral Contracts: Application to Railway Systems,,2015,,,49–58,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 18th International ACM SIGSOFT Symposium on Component-Based Software Engineering,"Montréal, QC, Canada",2015,9781450334716,,https://doi.org/10.1145/2737166.2737171;http://dx.doi.org/10.1145/2737166.2737171,10.1145/2737166.2737171,"In this paper, we propose a formal approach for the design of object-oriented component-based systems using behavioral contracts. This formalism merges interface automata describing communication protocols of components with the semantics of their operations. On grounds of consistency with the object-oriented paradigms, we revisit the notions of incremental design and independent implementability of interface automata by novel definitions of components compatibility, composition, and refinement. Our work is illustrated by a design case study of CBTC railway systems.","interface automata, refinement, railway systems, behavioral contracts, method semantics, object-oriented components",CBSE '15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Park G,Hong J,Steele Jr GL,Ryu S",Polymorphic Symmetric Multiple Dispatch with Variance,Proc. ACM Program. Lang.,2019,3,POPL,,Association for Computing Machinery,"New York, NY, USA",,,,2019-01,,,https://doi.org/10.1145/3290324;http://dx.doi.org/10.1145/3290324,10.1145/3290324,"Many object-oriented languages provide method overloading, which allows multiple method declarations with the same name. For a given method invocation, in order to choose what method declaration to invoke, multiple dispatch considers the run-time types of the arguments. While multiple dispatch can support binary methods (such as mathematical operators) intuitively and consistently, it is difficult to guarantee that calls will be neither ambiguous nor undefined at run time, especially in the presence of expressive language features such as multiple inheritance and parametric polymorphism. Previous efforts have formalized languages that include such features by using overloading rules that guarantee a unique and type-sound resolution of each overloaded method call; in many cases, such rules resolve ambiguity by treating the arguments asymmetrically. Here we present the first formal specification of a strongly typed object-oriented language with symmetric multiple dispatch, multiple inheritance, and parametric polymorphism with variance. We define both a static (type- checking) semantics and a dynamic (dispatching) semantics and prove the type soundness of the language, thus demonstrating that our novel dynamic dispatch algorithm is consistent with the static semantics. Details of our dynamic dispatch algorithm address certain technical challenges that arise from structural asymmetries inherent in object-oriented languages (e.g., classes typically declare ancestors explicitly but not descendants).","Variance, Parametric Polymorphism, Symmetric Multiple Dispatch, Method Overloading",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,Ryu S,ThisType for Object-Oriented Languages: From Theory to Practice,ACM Trans. Program. Lang. Syst.,2016,38,3,,Association for Computing Machinery,"New York, NY, USA",,,,2016-04,,0164-0925,https://doi.org/10.1145/2888392;http://dx.doi.org/10.1145/2888392,10.1145/2888392,"In object-oriented programs, objects often provide methods whose parameter types or return types are the object types themselves. For example, the parameter types of binary methods are the types of their receiver objects, and the return types of some factory methods are the types of their enclosing objects. However, most object-oriented languages do not support such methods precisely because their type systems do not support explicit recursive types, which lead to a mismatch between subclassing and subtyping. This mismatch means that an expression of a subclass may not always be usable in a context where an expression of a superclass is expected, which is not intuitive in an object-oriented setting. Researchers have proposed various type-sound approaches to support methods with types of their enclosing object types denoted by some variants of ThisType, but they reject reasonable and useful methods due to unpermissive type systems or they use less precise declared inexact types rather than runtime exact types.In this article, we present a thorough approach to support methods with ThisTypes: from a new encoding of objects in a typed lambda calculus that allows subtyping by subclassing to an open-source implementation as an extension of the Java programming language. We first provide real-world examples that motivate the need for ThisTyped methods to precisely describe desired properties of programs. We define a new object encoding that enables subtyping by subclassing even in the presence of negative occurrences of type recursion variables by distinguishing object types from existential object types. Based on this object encoding, we formalize language features to support ThisTyped methods with a core calculus CoreThisJava, and prove its type soundness. Finally, we provide ThisJava, a prototype implementation of the calculus, to show its backward compatibility, and we make it publicly available. We believe that our approach theoretically expands the long pursuit of an object-oriented language with ThisTypes to support more useful methods with more precise types.","ThisType, binary methods, generic factory methods, exact types, virtual constructors, Object-oriented languages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Tardieu O,Nystrom N,Peshansky I,Saraswat V",Constrained Kinds,,2012,,,811–830,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the ACM International Conference on Object Oriented Programming Systems Languages and Applications,"Tucson, Arizona, USA",2012,9781450315616,,https://doi.org/10.1145/2384616.2384675;http://dx.doi.org/10.1145/2384616.2384675,10.1145/2384616.2384675,"Modern object-oriented languages such as X10 require a rich framework for types capable of expressing both value-dependency and genericity, and supporting pluggable, domain-specific extensions. In earlier work, we presented a framework for constrained types in object-oriented languages, parametrized by an underlying constraint system. Types are viewed as formulas Cc where C is the name of a class or an interface and c is a constraint on the immutable instance state (the properties) of C. Constraint systems are a very expressive framework for partial information. Many (value-)dependent type systems for object-oriented languages can be viewed as constrained types.This paper extends the constrained types approach to handle type-dependency (\genericity\""). The key idea is to introduce constrained kinds: in the same way that constraints on values can be used to define constrained types",constraints on types can define constrained kinds.We develop a core programming language with constrained kinds. Generic types are supported by introducing type variables---literally,"variables with \""type\"" Type---and permitting programs to impose subtyping and equality constraints on such variables. We formalize the type-checking rules and establish soundness.While the language now intertwines constraints on types and values","its type system remains parametric in the choice of the value constraint system (language and solver). We demonstrate that constrained kinds are expressive and practical and sketch possible extensions with a discussion of the design and implementation of X10.""","X10, generics, types, constraints",OOPSLA '12,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Journal Article,"Tardieu O,Nystrom N,Peshansky I,Saraswat V",Constrained Kinds,SIGPLAN Not.,2012,47,10,811–830,Association for Computing Machinery,"New York, NY, USA",,,,2012-10,,0362-1340,https://doi.org/10.1145/2398857.2384675;http://dx.doi.org/10.1145/2398857.2384675,10.1145/2398857.2384675,"Modern object-oriented languages such as X10 require a rich framework for types capable of expressing both value-dependency and genericity, and supporting pluggable, domain-specific extensions. In earlier work, we presented a framework for constrained types in object-oriented languages, parametrized by an underlying constraint system. Types are viewed as formulas Cc where C is the name of a class or an interface and c is a constraint on the immutable instance state (the properties) of C. Constraint systems are a very expressive framework for partial information. Many (value-)dependent type systems for object-oriented languages can be viewed as constrained types.This paper extends the constrained types approach to handle type-dependency (\genericity\""). The key idea is to introduce constrained kinds: in the same way that constraints on values can be used to define constrained types",constraints on types can define constrained kinds.We develop a core programming language with constrained kinds. Generic types are supported by introducing type variables---literally,"variables with \""type\"" Type---and permitting programs to impose subtyping and equality constraints on such variables. We formalize the type-checking rules and establish soundness.While the language now intertwines constraints on types and values","its type system remains parametric in the choice of the value constraint system (language and solver). We demonstrate that constrained kinds are expressive and practical and sketch possible extensions with a discussion of the design and implementation of X10.""","X10, types, generics, constraints",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Conference Paper,"Parkinson MJ,Bierman GM","Separation Logic, Abstraction and Inheritance",,2008,,,75–86,Association for Computing Machinery,"New York, NY, USA",,Proceedings of the 35th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,"San Francisco, California, USA",2008,9781595936899,,https://doi.org/10.1145/1328438.1328451;http://dx.doi.org/10.1145/1328438.1328451,10.1145/1328438.1328451,"Inheritance is a fundamental concept in object-oriented programming, allowing new classes to be defined in terms of old classes. When used with care, inheritance is an essential tool for object-oriented programmers. Thus, for those interested in developing formal verification techniques, the treatment of inheritance is of paramount importance. Unfortunately, inheritance comes in a number of guises, all requiring subtle techniques.To address these subtleties, most existing verification methodologies typically adopt one of two restrictions to handle inheritance: either (1) they prevent a derived class from restricting the behaviour of its base class (typically by syntactic means) to trivialize the proof obligations; or (2) they allow a derived class to restrict the behaviour of its base class, but require that every inherited method must be reverified. Unfortunately, this means that typical inheritance-rich code either cannot be verified or results in an unreasonable number of proof obligations.In this paper, we develop a separation logic for a core object-oriented language. It allows derived classes which override the behaviour of their base class, yet supports the inheritance of methods without reverification where this is safe. For each method, we require two specifications: a static specification that is used to verify the implementation and direct method calls (in Java this would be with a super call); and a dynamic specification that is used for calls that are dynamically dispatched; along with a simple relationship between the two specifications. Only the dynamic specification is involved with behavioural subtyping. This simple separation of concerns leads to a powerful system that supports all forms of inheritance with low proof-obligation overheads. We both formalize our methodology and demonstrate its power with a series of inheritance examples.","classes, modularity, separation logic",POPL '08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
