authors,title,abstract,keywords_detected,model_comments,model,general_comment
V. Breazu-Tannen; T. Coquand; C. A. Gunter; A. Scedrov,Inheritance and explicit coercion,"A method is presented for providing semantic interpretations for languages which feature inheritance in the framework of statically checked, rich type disciplines. The approach is illustrated by an extension of the language Fun of L. Cardelli and P. Wegner (1985), which is interpreted via a translation into an extended polymorphic lambda calculus. The approach interprets inheritances in Fun as coercion functions already definable in the target of the translation. Existing techniques in the theory of semantic domains can then be used to interpret the extended polymorphic lambda calculus, thus providing many models for the original language. The method allows the simultaneous modeling of parametric polymorphism, recursive types, and inheritance, which has been regarded as problematic because of the seemingly contradictory characteristics of inheritance and type recursion on higher types. The main difficulty in providing interpretations for explicit type disciplines featuring inheritance is identified. Since interpretations follow the type-checking derivations, coherence theorems are required, and the authors prove them for their semantic method.<<ETX>></ETX>",,,Abadi/Cardelli based,
"Riecke JG,Stone CA",Privacy via Subsumption,"We describe an object calculus allowing object extension and structural subtyping. Each object has a “dictionary” to mediate the connection between names and components. This extra indirection yields the first object calculus combining both object extension and full width subtyping in a type-safe manner. If class inheritance is modeled with object extension, private fields and methods can be achieved directly by scoping restrictions: private fields or methods are those hidden by subsumption. We prove that the type system is sound, discuss a variant allowing covariant self types, and give some examples of the expressiveness of the calculus.",,,Abadi/Cardelli based,
B. Reus; T. Streicher,Semantics and logic of object calculi,The main contribution of this paper is a formal characterization of recursive object specifications based on a denotational untyped semantics of the object calculus and the discussion of existence of those (recursive) specifications. The semantics is then applied to prove soundness of a programming logic for the object calculus and to suggest possible extensions. For the purposes of this discussion we use an informal logic of predomains in order to avoid any commitment to a particular syntax of specification logic.,,,"Abadi/cardelli based
Abadi/Leino logic based",
"Kleist J,Sangiorgi D",Imperative objects as mobile processes,"An interpretation of Abadi and Cardelli's first-order Imperative ς-calculus into a typed π-calculus is presented. The interpretation validates the subtyping relation and the typing judgments of the ς-calculus, and is computationally adequate. The proof of computational adequacy makes use of (a π-calculus version) of ready simulation, and of a factorization of the interpretation into a functional part and a very simple imperative part. The interpretation can be extended to accommodate various type features. The interpretation can be used to compare and contrast the Imperative and the Functional ς-calculus, and to prove properties about them, within a unified framework.",,,"Abadi/Cardelli based
pi calculus based",
"Bugliesi M,Pericás-Geertsen SM",Type Inference for Variant Object Types,"Existing type systems for object calculi are based on invariant subtyping. Subtyping invariance is required for soundness of static typing in the presence of method overrides, but it is often in the way of the expressive power of the type system. Flexibility of static typing can be recovered in different ways: in first-order systems by the adoption of object types with variance annotations, in second-order systems by resorting to Self types. Type inference is known to be P-complete for first-order systems of finite and recursive object types, and NP-complete for a restricted version of Self types. The complexity of type inference for systems with variance annotations is yet unknown. This paper presents a new object type system based on the notion of Split types, a form of object types where every method is assigned two types, namely, an update type and a select type. The subtyping relation that arises for Split types is variant and, as a result, subtyping can be performed both in width and in depth. The new type system generalizes all the existing first-order type systems for objects, including systems based on variance annotations. Interestingly, the additional expressive power does not affect the complexity of the type inference problem, as we show by presenting an O(n3) inference algorithm.",,"calculus
type inference
ivariance subtyping
variance anotations 
self types
split types","Abadi/Cardelli based
sigma calculus",
"Reus B,Streicher T",Semantics and logic of object calculi,"The main contribution of this paper is a formal characterization of recursive object specifications and their existence based on a denotational untyped semantics of the object calculus. Existence is not guaranteed but can be shown employing Pitts’ results on relational properties of domains. The semantics can be used to analyse and verify Abadi and Leino's object logic but it also suggests extensions. For example, specifications of methods may not only refer to fields but also to methods of objects in the store. This can be achieved without compromising the existence theorem. An informal logic of predomains is in use intentionally in order to avoid any commitment to a particular syntax of specification logic.","Object logic, Programming logic, Program verification, Denotational semantics, Domain theory","object calculi,
object type system,
recursive object specification","Abadi/Cardelli based
sigma calculus based
Abadi/Leino logic based",
N. Hoshino,Step Indexed Realizability Semantics for a Call-by-Value Language Based on Basic Combinatorial Objects,"We propose a mathematical framework for step indexed realizability semantics of a call-by-value polymorphic lambda calculus with recursion, existential types and recursive types. Our framework subsumes step indexed realizability semantics by untyped call-by-value lambda calculi as well as categorical abstract machines. Starting from an extension of Hofstra's basic combinatorial objects, we construct a step indexed categorical realizability semantics. Our main result is soundness and adequacy of our step indexed realizability semantics. As an application, we show that a small step operational semantics captures the big step operational semantics of the call-by-value polymorphic lambda calculus. We also give a safe implementation of the call-by-value polymorphic lambda calculus into a categorical abstract machine.",Semantics of Programming Languages;operational semantics;denotational semantics,,"abstract machine based
lmbda calculus based",
"Ernst GW,Hookway RJ,Menegay JA,Ogden WF",Modular verification of Ada generics,"This paper develops modular verification rules for Ada generics which are proven to be sound and complete. The generic mechanism in Ada allows modules to be parameterized by types, procedures and functions. The modularity property allows a generic to be verified once, and then exported to other modules which assume that it is correct. This requires the generic to have a specification which is used in verifying other modules, but its implementation cannot be used for this purpose. Thus, modular verification cannot be based on removing generics by macro expansion which requires the use of the generic's implementation. The main difficulty with specifying and verifying a generic is that the specification language may need to be extended with a new theory for specifying and reasoning about properties of objects whose type is a parameter to the generic. Such theories must be part of the specification of the generic, and this raises the possibility that the extended specification language may not be expressive, even if it was before the extension. The use of strings in our specification language prevents this from happening, which is proven in the paper; this is a major step toward establishing the completeness of our rules. Modularity also had a large impact on our semantics for programming constructs which is quite different from the usual semantics in the literature, even though it is still based the denotational semantics of Scott and Strachey. The main reason for this is that we had to modify the standard definition of validity. Modularity requires that validity depend on certain internal assertions in a program, such as the precondition of a procedure invoked in the program.","Verification, Program correctness, Ada generics, Formal specification, Program semantics, Logical soundness, Program validity",,Ada's model,
A. Bader; T. Elrad,The Adaptive Arena: language constructs and architectural abstractions for concurrent object-oriented systems,"In this paper we present a concurrent object-oriented model in which a concurrent object, which represents a shared resource abstraction in our model, is decomposed into a hierarchy of architectural abstractions: a shared data abstraction, a synchronization abstraction, and a scheduling abstraction. It will be shown that the separation of concerns among the three major components of the concurrent objects avoids many of the conceptual difficulties that arise when integrating concurrency into the object-oriented paradigm. The proposed model presents a formal methodology for the architectural design and specification of the concurrent object-oriented software systems. The notion of scheduling policy inheritance in our model facilitates the process of engineering adaptability in the development of the intelligent reactive/adaptive systems.",,,Adaptive Arena model,
"Kogtenkov A,Meyer B,Velder S","Alias calculus, change calculus and frame inference","Alias analysis, which determines whether two expressions in a program may reference to the same object, has many potential applications in program construction and verification. We have developed a theory for alias analysis, the “alias calculus”, implemented its application to an object-oriented language, and integrated the result into a modern IDE. The calculus has a higher level of precision than many existing alias analysis techniques. One of the principal applications is to allow automatic change analysis, which leads to inferring “modifies” clauses, providing a significant advance towards addressing the Frame Problem. Experiments were able to infer the “modifies” clauses of an existing formally specified library. Other applications, in particular to concurrent programming, also appear possible. The article presents the calculus, the application to frame inference including experimental results, and other projected applications. The ongoing work includes building more efficient model capturing aliasing properties and soundness proof for its essential elements.","Verification, Alias analysis, Frame inference, Object-oriented, Static analysis",,Alias calculus,
"Gheyi R,Massoni T,Borba P",A Static Semantics for Alloy and its Impact in Refactorings,"Refactorings are usually proposed in an ad hoc way because it is difficult to prove that they are sound with respect to a formal semantics, not guaranteeing the absence of type errors or semantic changes. Consequently, developers using refactoring tools must rely on compilation and tests to ensure type-correctness and semantics preservation, respectively, which may not be satisfactory to critical software development. In this paper, we formalize a static semantics for Alloy, which is a formal object-oriented modeling language, and encode it in Prototype Verification System (PVS). The static semantics' formalization can be useful for specifying and proving that transformations in general (not only refactorings) do not introduce type errors, for instance, as we show here.","refactoring, type system, theorem proving, object models",,Alloy ,
"Giannini P,Servetto M,Zucca E,Cone J",Flexible recovery of uniqueness and immutability,"We present an imperative object calculus where types are annotated with qualifiers for aliasing and mutation control. There are two key novelties with respect to similar proposals. First, the type system is very expressive. Notably, it adopts the recovery approach, that is, using the type context to justify strengthening types, greatly improving its power by permitting to recover uniqueness and immutability properties even in presence of other references. This is achieved by rules which restrict the use of such other references in the portion of code which is recovered. Second, execution is modeled by a non standard operational model, where properties of qualifiers can be directly expressed on source terms, rather than as invariants on an auxiliary structure which mimics physical memory. Formally, this is achieved by the block construct, introducing local variable declarations, which, when evaluated, play the role of store.","Type systems, Imperative calculi, Immutability, Aliasing",,"an imperative pure calculus
Featherweight based
Gianini/Servetto/Zucca/Cone calculus",
"Giannini P,Servetto M,Zucca E",Tracing Sharing in an Imperative Pure Calculus: Extended Abstract,"We introduce a type and effect system, for an imperative object calculus, which infers sharing possibly introduced by the evaluation of an expression. Sharing is directly represented at the syntactic level as a relation among free variables, thanks to the fact that the calculus is pure. That is, imperative features are modeled by just rewriting source code terms. We consider both standard variables and affine variables, which can occur at most once in their scope. The latter are used as temporary references, to \move\"" a capsule (an isolated portion of store) to another location in the store. The sharing effects inferred by the type system are very expressive","and generalize notions introduced in literature by type modifiers.""",,"an imperative pure calculus
Gianini/Servetto/Zucca calculus",
M. Ancona,Inheritance and subtyping (object-oriented databases),"A method for implementing subtyping and inheritance, as independent features of object-oriented languages, is presented. There are at least two reasons for decoupling subtyping from inheritance: the negative influence on encapsulation and the different perspective of specification inheritance (subtyping) and implementation inheritance (code sharing). Subtyping and inheritance are defined in two independent constructs: the class module and the implementation module which are separately compiled. Subtyping is declared in the class module which contains all the public definitions of the class (e.g., types ad operation signatures), while inheritance is defined in the implementation module, which contains the implementations of all the operations of the class. The class module includes assertions which are an algorithmic form of operation specification.<<ETX>></ETX>",,"inheritance
subtyping",Ancona's model,
"Ancona D,Corradi A",Semantic Subtyping for Imperative Object-Oriented Languages,"Semantic subtyping is an approach for defining sound and complete procedures to decide subtyping for expressive types, including union and intersection types; although it has been exploited especially in functional languages for XML based programming, recently it has been partially investigated in the context of object-oriented languages, and a sound and complete subtyping algorithm has been proposed for record types, but restricted to immutable fields, with union and recursive types interpreted coinductively to support cyclic objects. In this work we address the problem of studying semantic subtyping for imperative object-oriented languages, where fields can be mutable; in particular, we add read/write field annotations to record types, and, besides union, we consider intersection types as well, while maintaining coinductive interpretation of recursive types. In this way, we get a richer notion of type with a flexible subtyping relation, able to express a variety of type invariants useful for enforcing static guarantees for mutable objects. The addition of these features radically changes the defi- nition of subtyping, and, hence, the corresponding decision procedure, and surprisingly invalidates some subtyping laws that hold in the functional setting. We propose an intuitive model where mutable record val- ues contain type information to specify the values that can be correctly stored in fields. Such a model, and the correspond- ing subtyping rules, require particular care to avoid circularity between coinductive judgments and their negations which, by duality, have to be interpreted inductively. A sound and complete subtyping algorithm is provided, together with a prototype implementation.","Structural Types for Objects, Semantic Subtyp- ing, Read/Write Field Annotations",,Ancona/Corradi model,
"Ancona D,Lagorio G",Complete Coinductive Subtyping for Abstract Compilation of Object-Oriented Languages,"Coinductive abstract compilation is a novel technique, which has been recently introduced, for defining precise type systems for object-oriented languages. In this approach, type inference consists in translating the program to be analyzed into a Horn formula f, and in resolving a certain goal w.r.t. the coinductive (that is, the greatest) Herbrand model of f.Type systems defined in this way are idealized, since types and, consequently, goal derivations, are not finitely representable. Hence, sound implementable approximations have to rely on the notions of regular types and derivations, and of subtyping and subsumption between types and atoms, respectively.In this paper we address the problem of defining a complete subtyping relation ≤ between types built on object and union type constructors: we interpret types as sets of values, and investigate on a definition of subtyping such that t1 ≤ t2 is derivable whenever the interpretation of t1 is contained in the interpretation of t2. Besides being an important theoretical result, completeness is useful for reasoning about possible implementations of the subtyping relation, when restricted to regular types.","coinduction, Java, subtyping, union types, type inference",,Ancona/Lagorio model,
"Hainry E,Péchoux R",A type-based complexity analysis of Object Oriented programs,"A type system is introduced for a generic Object Oriented programming language in order to infer resource upper bounds. A sound and complete characterization of the set of polynomial time computable functions is obtained. As a consequence, the heap-space and the stack-space requirements of typed programs are also bounded polynomially. This type system is inspired by previous works on Implicit Computational Complexity, using tiering and non-interference techniques. The presented methodology has several advantages. First, it provides explicit big O polynomial upper bounds to the programmer, hence its use could allow the programmer to avoid memory errors. Second, type checking is decidable in polynomial time. Last, it has a good expressivity since it analyzes most object oriented features like inheritance, overload, override and recursion. Moreover it can deal with loops guarded by objects and can also be extended to statements that alter the control flow like break or return.","Object Oriented Program, Type system, Complexity, Polynomial time",,AOO PL,
"Apt KR,de Boer FS,Olderog ER,de Gouw S",Verification of object-oriented programs: A transformational approach,"We show that verification of object-oriented programs by means of the assertional method can be achieved in a simple way by exploiting a syntax-directed transformation from object-oriented programs to recursive programs. This transformation suggests natural proofs rules and its correctness helps us to establish soundness and relative completeness of the proposed proof system. One of the difficulties is how to properly deal in the assertion language with the instance variables and aliasing. The discussed programming language supports arrays, instance variables, failures and recursive methods with parameters. We also explain how the transformational approach can be extended to deal with other features of object-oriented programming, like classes, inheritance, subtyping and dynamic binding.","Object-oriented programs, Null references, Aliasing, Inheritance, Subtyping, Syntax-directed transformation, Recursive programs, Program verification, Strong partial correctness, Relative completeness",,Apt/Boer/Olderog/Gouw/ model,
R. Guetari; A. Haurat,"Algebraic specification of abstract data type and transition graphs: formal techniques for object-oriented analysis, specification and design","A transition graph is a formal tool dedicated to the specification of communicant processes. However, we show that it is a useful way to analyse and specify the behaviour of objects of the real world in order to model them in the form of classes. This paper presents the transition graphs theory. The class model features and establishes the relationship between these two concepts. Then we show how to describe and model an entity of the real world with a transition graph and the techniques allowing us to automatically generate a corresponding class. This study has allowed us to develop a graphic software tool which, from a transition graph, enables us to generate an algebraic specification and a class.",,,ASAT,
R. Guetari; A. Haurat,Object-oriented specification and design using the transition graphs,"A transition graph is a formal tool dedicated to the specification of communicant processes. However, we show that it is a useful way to analyse and specify the behaviour of objects of the real world in order to model them in the form of classes. The paper presents the transition graph theory, the class model features and establishes the relationship between these two concepts. Then we show how to describe and model an entity of the real world with a transition graph and the techniques allowing us to automatically generate a corresponding class. This study has allowed us to develop a graphic software tool which, from a transition graph, enables us to generate an algebraic specification and a class.",,,ASAT,
"Pierik C,de Boer FS",A proof outline logic for object-oriented programming,This paper describes a proof outline logic that covers most typical object-oriented language constructs in the presence of inheritance and subtyping. The logic is based on a weakest precondition calculus for assignments and object allocation which takes field shadowing into account. Dynamically bound method calls are tackled with a variant of Hoare's rule of adaptation that deals with the dynamic allocation of objects in object-oriented programs. The logic is based on an assertion language that is closely tailored to the abstraction level of the programming language.,"Proof outline logic, Hoare logic, Object-oriented programming, Verification, Rule of adaptation",,"AsO
asserion language
proof outline logic based",
"Henrio L,Kammüller F,Lutz B",ASPfun : A typed functional active object calculus,"This paper provides a sound foundation for autonomous objects communicating by remote method invocations and futures. As a distributed extension of ς-calculus we define ASPfun, a calculus of functional objects, behaving autonomously and communicating by a request-reply mechanism: requests are method calls handled asynchronously and futures represent awaited results for requests. This results in an object language enabling a concise representation of a set of active objects interacting by asynchronous method invocations. This paper first presents the ASPfun calculus and its semantics. Then, we provide a type system for ASPfun which guarantees the “progress” property. Most importantly, ASPfun has been formalised; its properties have been formalised and proved using the Isabelle theorem prover and we consider this as an important step in the formalization of distributed languages. This work was also an opportunity to study different binder representations and experiment with two of them in the Isabelle/HOL theorem prover.","Theorem proving, Object calculus, Futures, Distribution, Typing, Binders",,"AspFun
Abadi/Cardelli based",
R. C. M. de Rooij; J. van Katwijk,An approach towards formal verification of object oriented real-time systems,"This paper describes an approach towards verification of object oriented real-time software systems, based on ATL+, a formal specification language of which the syntax and semantics are inspired by the Java programming language. Using a specification language based on an object oriented programming language reduces the semantic gap between the implementation of a system and the model used for verification. We describe the syntax and semantics of ATL+, as well as a transformation procedure by which ATL+ is transformed into a notation suitable for use with an automated verification tool. We show the applicability of our method by giving some verification results, in which properties and constraints on design parameters are derived for a simple example.",,,ATL+,"real time, verification"
B. H. C. Cheng; G. C. Gannod,Abstraction of formal specifications from program code,"A description is presented of the development of the tool AUTOSPEC (automated specification), which abstracts formal specifications from program code. The abstraction process can incorporate domain-specific information supplied interactively by the user, as necessary. The abstraction algorithms and a discussion of the use of formal methods and object-oriented techniques for the development of AUTOSPEC are given. Implementation-specific information is given and related work is described.<<ETX>></ETX>",,,AutoSpec,
Conrad S,A basic calculus for verifying properties of interacting objects,"We introduce a basic calculus for expressing and proving properties of interacting objects. The objects considered have dynamic behaviour and are organized into object communities in a hierarchical way. After a detailed and formal presentation of the calculus, essential properties of the calculus are discussed, especially the question of compositionality. The calculus constitutes a basis for investigating issues of verifying properties of objects and object communities. In consequence, we have focused on a small number of essential concepts. This calculus can be seen as an extensible basis applicable to different object-oriented specification frameworks.","Object specification, Dynamic objects, Verification, Compositional specification, Compositional verification, Basic calculus",,basic calculus,
"Binder D,Jabs J,Skupin I,Ostermann K",Decomposition Diversity with Symmetric Data and Codata,"The expression problem describes a fundamental trade-off in program design: Should a program's primary decomposition be determined by the way its domain objects are constructed (""functional"" decomposition), or by the way they are destructed (""object-oriented"" decomposition)? We argue that programming languages should not force one of these decompositions on the programmer; rather, a programming language should support both ways of decomposing a program in a symmetric way, with an easy translation between these decompositions. However, current programming languages are usually not symmetric and hence make it unnecessarily hard to switch the decomposition. We propose a language that is symmetric in this regard and allows a fully automatic translation between ""functional"" and ""object-oriented"" decomposition. We present a language with algebraic data types and pattern matching for ""functional"" decomposition and codata types and copattern matching for ""object-oriented"" decomposition, together with a bijective translation that turns a data type into a codata type (""destructorization"") or vice versa (""constructorization""). We present the first symmetric programming language with support for local (co)pattern matching, which includes local anonymous function or object definitions, that allows an automatic translation as described above. We also present the first mechanical formalization of such a language and prove i) that the type system is sound, that the translations between data and codata types are ii) type-preserving, iii) behavior-preserving and iv) inverses of each other. We also extract a mechanically verified implementation from our formalization and have implemented an IDE with direct support for these translations.",,,Binder/Jabs/Skupin/Ostermann PL,
"Given-Wilson T,Huang F,Jay B",Multi-Polymorphic Programming in Bondi,"The bondi programming language is multi-polymorphic, in that it supports four polymorphic programming styles within a small core of computation, namely a typed pattern calculus. bondi's expressive power is illustrated by considering the problem of assigning reviewers to a paper. As the context generalises from a committee to a committee with additional reviewers, to a conference, to a federation or confederation, the solution incorporates polymorphism familiar from the functional, generic functional, relational, path-based, and object-oriented programming styles, respectively. These experiments show that multi-polymorphic programming is both practical and desirable.","polymorphism, pattern matching, pattern calculus, generic programming, bondi",,Bondi PL,
"Bono V,Patel A,Shmatikov V,Mitchell J",A Core Calculus of Classes and Objects,"We present an imperative calculus for a class-based language. By introducing classes as the basic object-oriented construct in a λ-calculus with records and references, we obtain a system with an intuitive operational semantics. Objects are instantiated from classes and represented by records. The type system for objects uses only functional, record, and reference types, and there is a clean separation between subtyping and inheritance. We demonstrate that the calculus is sound and sufficiently expressive to model advanced language features such as inheritance with method redefinition, multi-level encapsulation, and modular object construction.","object-oriented language, class, calculus, operational semantics, type system.",,"Bono/Pate/Shmatnikov/Mitchell calculus
Wright based",ref: Wright and M. Felleisen. A Syntactic Approach to Type Soundness
Bonniot D,Using kinds to type partially-polymorphic methods,"We extend type constraints with kind constraints to increase the expressiveness of constraint-based nominal type systems. In the context of object-oriented programming languages, they offer an alternative to the use of F-bounded polymorphism to type homogeneous binary methods. We also introduce the notion of partially polymorphic methods to describe a common situation in object-oriented hierarchies, and show how these can be typed in a modular fashion with kind constraints.",,,Booniot type model,
"Borba P,Sampaio A,Cavalcanti A,Cornélio M",Algebraic reasoning for object-oriented programming,"We present algebraic laws for a language similar to a subset of sequential Java that includes inheritance, recursive classes, dynamic binding, access control, type tests and casts, assignment, but no sharing. These laws are proved sound with respect to a weakest precondition semantics. We also show that they are complete in the sense that they are sufficient to reduce an arbitrary program to a normal form substantially close to an imperative program; the remaining object-oriented constructs could be further eliminated if our language had recursive records. This suggests that our laws are expressive enough to formally derive behaviour preserving program transformations; we illustrate that through the derivation of provably-correct refactorings.",,"weakest precondition semantics
refinemet calculus",Borba/Sampaio/Cavalcanti/Cornellio mode;,"ref:
A. L. C. Cavalcanti and D. A. Naumann. A Weakest Precondition Semantics for Refinement of Ob ject-oriented Programs. IEEE Transactions on Software Engineering, 26(8):713 – 728, 2000.

P. H. M. Borba, A. C. A. Sampaio, and M. L. Corn ́elio. A Refinement Algebra for Object-oriented Programming. In Luca Cardelli, editor, European Conference on Object-oriented Programming 2003 — ECOOP 2003, volume 2743 of Lecture Notes in Computer Science, pages 457 – 482. Springer-Verlag, 2003."
"Burton E,Sekerinski E",The Safety of Dynamic Mixin Composition,"Dynamic mixins are a modular means of developing features or roles that can be composed with objects at run-time. However, naive use of this construct can cause unexpected behaviour due to interference caused by the presence of an object's previously bound mixins. This work proposes a method for developing mixins that can be bound to base objects such that the mixins do not interfere with each other; the method achieves compositionally through a coupling invariant and by syntactically restricting mixins. The refinement calculus is used for formalization, as it treats implementations and specifications uniformly. The formalization relies on a new notion of mixin refinement.","refinement, mixins, compositionality, safety, modularity",,"Burton/Sekeriski model
mixins",
Eun-Sun Cho; Sang-Yong Han; Hyoung-Joo Kim,A semantics of the separation of interface and implementation in C++,"C++ uses 'class' as the basis of 'subtype polymorphism' and 'inheritance', but it has been pointed out that the overloading of 'class' limits the expressiveness and makes its type system inflexible. This means that C++ and some other object oriented languages had to separate a class into two modules-an interface and an implementation. But, there seems to be no leading C++ model for separating the interface lattice from the implementation lattice. Moreover none of the proposed models describe the result of the separation in a formal way. As a result it is hard to understand what the type space would be like after the separation. The paper presents a formal model for the separation of interface and implementation in C++, and which explains the properties of the resulting type space after the separation.",,separation of interface and implementation,"C++ based
separation of interface and implementation",
