Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Edition,Publisher,Address,Book title,Date published,ISBN,ISSN,URLs,DOI,Abstract,Keywords,Notes,Series,,,,,,,,,,,,,,,,,,,
Journal Article,"Luo C,Qin S",,Separation Logic for Multiple Inheritance,Electronic Notes in Theoretical Computer Science,2008,212,,27-40,,,,,2008,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066108002661;http://dx.doi.org/10.1016/j.entcs.2008.04.051,10.1016/j.entcs.2008.04.051,"As an extension to Floyd-Hoare logic, separation logic has been used to facilitate reasoning about imperative programs manipulating shared mutable data structures. Recently, it has also been extended to support modular reasoning in Java-like object-oriented languages where only single inheritance is allowed. In this paper we propose an extension of separation logic to support also the reasoning for multiple inheritance in C++ -like languages. To cater for multiple inheritance, we modified the standard storage model for separation logic in a way that the correct reference to a field or a method can be easily determined. On top of this storage model, a set of proof rules are proposed. Our verification system also provides basic support for behavioral subtyping.","Multiple Inheritance, Separation Logic, Verification","Proceedings of the First International Conference on Foundations of Informatics, Computing and Software (FICS 2008)",,,,,,,,,,,,,,,,,,,,
Journal Article,"Gil de Lamadrid J,Zimmerman J",,Core FOBS: A hybrid functional and object-oriented language,"Computer Languages, Systems & Structures",2012,38,3,214-241,,,,,2012,,1477-8424,https://www.sciencedirect.com/science/article/pii/S1477842412000127;http://dx.doi.org/10.1016/j.cl.2012.04.002,10.1016/j.cl.2012.04.002,"We describe a computer language that is a hybrid between functional and object-oriented languages. The language is based on a simple structure called a FOB (functional-object), capable of being used as a function, or accessed as an object. FOBS is a dynamically typed, referentially transparent language, designed for use as a universal scripting language. An extensive library is integral to the language. The library implements the primitive types and provides an interface to the external environment, allowing scripting actions to be carried out. FOBS is structured as an extended language, that is reduced to a core language by macro expansion. Our paper provides an introduction to the core language, a brief discussion of the extended language, and formal specifications of syntax and semantics for the core. The formal semantic description for FOBS is somewhat unusual for a scripting language. However, this description ensures that the FOBS semantics is well-specified, allowing programmers to write well understood programs, increasing program reliability.","Object-oriented, Functional, Hybrid",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Staffetti E,Grau A,Serratosa F,Sanfeliu A",,Object and image indexing based on region connection calculus and oriented matroid theory,Discrete Applied Mathematics,2005,147,2,345-361,,,,,2005,,0166-218X,https://www.sciencedirect.com/science/article/pii/S0166218X04003683;http://dx.doi.org/10.1016/j.dam.2004.09.019,10.1016/j.dam.2004.09.019,"In this paper a novel method for indexing views of 3D objects is presented. The topological properties of the regions of views of an object or of a set of objects are used to define an index based on region connection calculus and oriented matroid theory. Both are formalisms for qualitative spatial representation and reasoning and are complementary in the sense that, whereas region connection calculus characterize connectivity of couples of connected regions of views, oriented matroids encode relative position of disjoint regions of views and give local and global topological information about their spatial distribution. This indexing technique has been applied to hypothesis generation from a single view to reduce the number of candidates in 3D object recognition processes.","Image indexing, Object recognition from a single view, Oriented matroid theory, Region connection calculus",Advances in Discrete Geometry and Topology,,,,,,,,,,,,,,,,,,,,
Journal Article,"Wang X,Zhang W",,Relations of attribute reduction between object and property oriented concept lattices,Knowledge-Based Systems,2008,21,5,398-403,,,,,2008,,0950-7051,https://www.sciencedirect.com/science/article/pii/S0950705108000166;http://dx.doi.org/10.1016/j.knosys.2008.02.005,10.1016/j.knosys.2008.02.005,"As one of the basic problems of knowledge discovery and data analysis, knowledge reduction can make the discovery of implicit knowledge in data easier and the representation simpler. In this paper, relations of attribute reduction between object and property oriented formal concept lattices are discussed. And beautiful results are obtained that attribute reducts and attribute characteristics in the two concept lattices are the same based on new approaches to attribute reduction by means of irreducible elements. It turns out to be meaningful and effective in dealing with knowledge reduction, as attribute reducts and attribute characteristics in the object and property oriented formal concept lattices can be acquainted by only investigating one of the two concept lattices.","Object oriented concept lattice, Property oriented concept lattice, Attribute reduction, Partial relation, Irreducible element",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Bono V,Patel A,Shmatikov V,Mitchell J",,A Core Calculus of Classes and Objects,Electronic Notes in Theoretical Computer Science,1999,20,,28-49,,,,,1999,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066104800653;http://dx.doi.org/10.1016/S1571-0661(04)80065-3,10.1016/S1571-0661(04)80065-3,"We present an imperative calculus for a class-based language. By introducing classes as the basic object-oriented construct in a λ-calculus with records and references, we obtain a system with an intuitive operational semantics. Objects are instantiated from classes and represented by records. The type system for objects uses only functional, record, and reference types, and there is a clean separation between subtyping and inheritance. We demonstrate that the calculus is sound and sufficiently expressive to model advanced language features such as inheritance with method redefinition, multi-level encapsulation, and modular object construction.","object-oriented language, class, calculus, operational semantics, type system.","MFPS XV, Mathematical Foundations of Progamming Semantics, Fifteenth Conference",,,,,,,,,,,,,,,,,,,,
Journal Article,"Maidl AM,Carvilhe C,Musicante MA",,Maude Object-Oriented Action Tool,Electronic Notes in Theoretical Computer Science,2008,205,,105-121,,,,,2008,,1571-0661,https://www.sciencedirect.com/science/article/pii/S1571066108001734;http://dx.doi.org/10.1016/j.entcs.2008.03.068,10.1016/j.entcs.2008.03.068,"Object-Oriented Action Semantics (OOAS) incorporates object-oriented concepts to the Action Semantics formalism. Its main goal is to obtain more readable and reusable semantics specifications. Moreover, it supports syntax-independent specifications, due to the way classes are written. Maude Object-Oriented Action Tool (MOOAT) is an executable environment for Object-Oriented Action Semantics implemented as a conservative extension of Full Maude and Maude MSOS Tool (MMT). The Modular SOS of Action Notation has been implemented using MMT transitions and Full Maude has been used to implement the Classes Notation. The syntax created by MOOAT is fairly similar to the original Object-Oriented Action Semantics syntax. In addition to it, the tool combines the modularity aspects observed in the object-oriented approach with the efficient execution and analysis of the Maude system. We use MOOAT to describe syntax-independent specifications of programming languages. In this way, we show how Constructive Object-Oriented Action Semantics (COOAS) may be achieved as a combination between Object-Oriented Action Semantics and Constructive Action Semantics (CAS) using MOOAT, in order to increase the modularity aspects observed in the object-oriented formalism. This paper reports on the development of Maude Object-Oriented Action Tool and its application to the formal specification of programming languages.","Constructive Action Semantics, Formal Semantics, Maude, Modular Structural Operational Semantics, Object-Oriented Action Semantics","Proceedings of the Second Workshop on Logical and Semantic Frameworks, with Applications (LSFA 2007)",,,,,,,,,,,,,,,,,,,,
Journal Article,"Riecke JG,Stone CA",,Privacy via Subsumption,Information and Computation,2002,172,1,2-28,,,,,2002,,0890-5401,https://www.sciencedirect.com/science/article/pii/S0890540100929250;http://dx.doi.org/10.1006/inco.2000.2925,10.1006/inco.2000.2925,"We describe an object calculus allowing object extension and structural subtyping. Each object has a “dictionary” to mediate the connection between names and components. This extra indirection yields the first object calculus combining both object extension and full width subtyping in a type-safe manner. If class inheritance is modeled with object extension, private fields and methods can be achieved directly by scoping restrictions: private fields or methods are those hidden by subsumption. We prove that the type system is sound, discuss a variant allowing covariant self types, and give some examples of the expressiveness of the calculus.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Derrick J,Boiten E,Bowman H,Steen M",,Viewpoints and consistency: translating lotos to Object-z,Computer Standards & Interfaces,1999,21,3,251-272,,,,,1999,,0920-5489,https://www.sciencedirect.com/science/article/pii/S0920548999000100;http://dx.doi.org/10.1016/S0920-5489(99)00010-0,10.1016/S0920-5489(99)00010-0,"This paper presents a translation between the formal description technique lotos and the object-oriented specification language Object-z. The need for such a translation lies in the use of formal methods in viewpoint specification, and in particular in the Open Distributed Processing standard. The use of viewpoints as a set of partial interlocking specifications brings an obligation to check the consistency of these partial specifications, and to do so we need to relate specifications written in differing languages. The work presented here aims to support the consistency checking of viewpoints written using formal methods by defining a translation from lotos to Object-z. A lotos specification describes both an ADT component and a behavioural model, the former is translated into the z type system, and the behavioural specification is translated into a collection of Object-z classes where we relate lotos actions to operations in the Object-z specification. A case study is presented, illustrating the translation and consistency checking techniques discussed in the paper.","Distributed systems, Open distributed processing, Formal methods (Object-, ), Viewpoints, Consistency, Partial specification",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Bettini L,Damiani F,Geilmann K,Schäfer J",,Combining traits with boxes and ownership types in a Java-like setting,Science of Computer Programming,2013,78,2,218-247,,,,,2013,,0167-6423,https://www.sciencedirect.com/science/article/pii/S0167642311001833;http://dx.doi.org/10.1016/j.scico.2011.10.006,10.1016/j.scico.2011.10.006,"The box model is a lightweight component model for the object-oriented paradigm, which structures the flat object-heap into hierarchical runtime components called boxes. Boxes have clear runtime boundaries that divide the objects of a box into objects that can be used to interact with the box (the boundary objects) and objects that are encapsulated and represent the state of the box (the local objects). The distinction into local and boundary objects is statically achieved by an ownership type system for boxes that uses domain annotations to classify objects into local and boundary objects and that guarantees that local objects can never be directly accessed by the context of a box. A trait is a set of methods divorced from any class hierarchy. Traits are units of fine-grained reuse that can be composed together to form classes or other traits. This paper integrates traits into an ownership type system for boxes. This combination is fruitful in two ways: it can statically guarantee encapsulation of objects and still provide fine-grained reuse among classes that goes beyond the possibilities of standard inheritance. It also solves a specific problem of the box ownership type system: namely that box classes cannot inherit from standard classes (and vice versa), and thus code sharing between these two kinds of classes was not possible in this setting so far. We present an ownership type system and the corresponding soundness proofs that guarantee encapsulation of objects in an object-oriented language with traits.","Boxes, Featherweight Java, Ownership types, Traits",Coordination 2010,,,,,,,,,,,,,,,,,,,,
Journal Article,Beeri C,,A formal approach to object-oriented databases,Data & Knowledge Engineering,1990,5,4,353-382,,,,,1990,,0169-023X,https://www.sciencedirect.com/science/article/pii/0169023X9090020E;http://dx.doi.org/10.1016/0169-023X(90)90020-E,10.1016/0169-023X(90)90020-E,"Object-oriented database systems are the focus of current research and development efforts. Yet, there is no commonly accepted object model, nor is it clear whether such a model can be developed. This paper reports on efforts to develop a formal framework that contains most features found in current object oriented database systems. The framework contains two parts. The first is a structural object model, including concepts such as structured objects, identity, and some form of inheritance. For this model, we explain the distinction between values and (abstract) objects, describe a system as a directed graph, and discuss declarative languages. The second part deals with higher-order concepts, such as classes and functions as data, methods, and inheritance. This part is a sketch, and leaves many issues unresolved. Throughout the paper, the emphasis is on logic-oriented modeling.","Object-oriented database systems, Formal model, Declarative languages, Higher-order logic, Methods",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Ghoreshi M,Haghighi H",,An incremental method for extracting tests from object-oriented specification,Information and Software Technology,2016,78,,1-26,,,,,2016,,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584916300854;http://dx.doi.org/10.1016/j.infsof.2016.05.005,10.1016/j.infsof.2016.05.005,"Context The nature of the object-oriented development process is iterative and incremental, and through this process, software artifacts are refined and evolved continuously; however, most of proposed methods for deriving test cases from formal, object-oriented specifications have been adapted from previous structural techniques and are not aligned with such an incremental process. These methods are not adaptive with changes in the software specification, and there is no mechanism to evolve test artifacts respectively. Moreover, the existing methods do not cover all different object-oriented testing levels, i.e., intra-method, inter-method, intra-class and inter-class levels. Objective This paper presents an incremental method for extracting tests from formal, object-oriented specifications. Extracted tests are adaptive with changes in the class specification. In addition, the proposed method covers all different object-oriented testing levels. Method We first make a test machine (as a new notion introduced in this paper) for each class operation to cover the intra-method test level. With the combination of these test machines, new test machines covering the inter-method and intra-class test levels can be made. Extracted tests can be easily modified when the class specification is modified, and, in this way, our approach enables iterative and incremental test derivation. With test machines corresponding to a class hierarchy, this approach can also be used for deriving inter-class tests. Results As a case study, we applied our method to the specification of a computer game. Results indicate that test machines can incrementally be extracted through a class hierarchy, and a parent test machine can be used to obtain its corresponding child test machines (by reusing test artifacts). Furthermore, by running extracted test cases on the implemented game, we discovered some real bugs. Conclusion The proposed approach can incrementally extract tests and bring extendibility and reusability as two main advantages of the object- oriented paradigm to the test domain.","Test case generation, Formal specification, Specification-based testing, Object orientation, Object-Z",,,,,,,,,,,,,,,,,,,,,
Journal Article,"Dovland J,Broch Johnsen E,Owe O,Steffen M",,Incremental reasoning with lazy behavioral subtyping for multiple inheritance,Science of Computer Programming,2011,76,10,915-941,,,,,2011,,0167-6423,https://www.sciencedirect.com/science/article/pii/S0167642310001723;http://dx.doi.org/10.1016/j.scico.2010.09.006,10.1016/j.scico.2010.09.006,"Object-orientation supports code reuse and incremental programming. Multiple inheritance increases the possibilities for code reuse, but complicates the binding of method calls and thereby program analysis. Behavioral subtyping allows program analysis under an open world assumption; i.e., under the assumption that class hierarchies are extensible. However, method redefinition is severely restricted by behavioral subtyping, and multiple inheritance may lead to conflicting restrictions from independently designed superclasses. This paper presents a more liberal approach to incremental reasoning for multiple inheritance under an open world assumption. The approach, based on lazy behavioral subtyping, is well-suited for multiple inheritance, as it incrementally imposes context-dependent behavioral constraints on new subclasses. We first present the approach for a simple language and show how incremental reasoning can be combined with flexible code reuse. Then this language is extended with a hierarchy of interface types which is independent of the class hierarchy. In this setting, flexible code reuse can be combined with modular reasoning about external calls in the sense that each class is analyzed only once. We formalize the approach as a calculus and show soundness for both languages.","Lazy behavioral subtyping, Object orientation, Multiple inheritance, Late binding, Proof systems, Code reuse, Method redefinition, Incremental reasoning",Integrated Formal Methods (iFM09),,,,,,,,,,,,,,,,,,,,
Journal Article,Mernik M,,An object-oriented approach to language compositions for software language engineering,Journal of Systems and Software,2013,86,9,2451-2464,,,,,2013,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121213001271;http://dx.doi.org/10.1016/j.jss.2013.04.087,10.1016/j.jss.2013.04.087,"In this paper, it is shown that inheritance, a core concept from object-oriented programming, is a possible solution for realizing composition of computer languages. Language composability is a property of language descriptions, which can be further classified into informal (language syntax and semantics are hard-coded in compiler/interpreter) and formal language descriptions (syntax and semantics are formally specified with one of several formal methods for language definition). However, language composition is much easier to achieve with declarative formal language descriptions into which the notion of inheritance is introduced. Multiple attribute grammar inheritance, as implemented in the language implementation system LISA, can assist in realizing all of the different types of language compositions identified in Erdweg et al. (2012). Different examples are given throughout the paper using an easy to understand domain-specific language that describes simple robot movement.","Software language engineering, Language composition, Domain-specific languages",,,,,,,,,,,,,,,,,,,,,
Journal Article,Ierusalimschy R,,A denotational approach for type-checking in object-oriented programming languages,Computer Languages,1993,19,1,19-40,,,,,1993,,0096-0551,https://www.sciencedirect.com/science/article/pii/0096055193900372;http://dx.doi.org/10.1016/0096-0551(93)90037-2,10.1016/0096-0551(93)90037-2,"Starting with a pragmatical (but formal) definition of type in object-oriented languages, this paper proposes a method to test type safety in this kind of language. We say that a language is (type) safe if it ensures that, during the execution of a correct program, every message sent to an object is matched by an appropriate method. We define a “typical” object oriented programming language, featuring multiple inheritance, recursive types, and separation between specifications and implementations. Then, we give a formal definition for its type system, and a denotational semantics for the execution of the language, based on message passing. Finally, we formally prove that our language is type safe. Along the progress of the work, better understanding is gained about many problems related with type systems in object-oriented languages.","semantics of programming languages, type systems, object oriented programming",,,,,,,,,,,,,,,,,,,,,
Journal Article,Ghelli G,,Termination of SystemF-bounded: A Complete Proof,Information and Computation,1997,139,1,39-56,,,,,1997,,0890-5401,https://www.sciencedirect.com/science/article/pii/S0890540197926626;http://dx.doi.org/10.1006/inco.1997.2662,10.1006/inco.1997.2662,"SystemF-bounded is a second-order typedλ-calculus with subtyping which has been defined to carry out foundational studies about the type systems of object-oriented languages. The almost recursive nature of the essential feature of this system makes one wonder whether it retains the strong normalization property, with respect to first- and second-orderβϵreduction of systemF⩽. We prove that this is the case. The proof is carried out to the last detail to allow the reader to be convinced of its correctness.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Fisher K,Reppy J",,Inheritance-Based Subtyping,Information and Computation,2002,177,1,28-55,,,,,2002,,0890-5401,https://www.sciencedirect.com/science/article/pii/S089054010293169X;http://dx.doi.org/10.1006/inco.2002.3169,10.1006/inco.2002.3169,"Classes play a dual role in mainstream statically typed object-oriented languages, serving as both object generators and object types. In such languages, inheritance implies subtyping. In contrast, the theoretical language community has viewed this linkage as a mistake and has focused on subtyping relationships determined by the structure of object types, without regard to their underlying implementations. In this paper, we explore why inheritance-based subtyping relations are useful, and we describe two different approaches to extending the MOBY programming language with inheritance-based subtyping relations. In addition, we present a typed object calculus that supports both structural and inheritance-based subtyping, and which provides a formal accounting of our extensions to MOBY.",,,,,,,,,,,,,,,,,,,,,,
Journal Article,"Paulweber P,Simhandl G,Zdun U",,On the Understandability of Language Constructs to Structure the State and Behavior in Abstract State Machine Specifications: A Controlled Experiment,Journal of Systems and Software,2021,178,,110987,,,,,2021,,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121221000844;http://dx.doi.org/10.1016/j.jss.2021.110987,10.1016/j.jss.2021.110987,"Abstract State Machine (ASM) theory is a well-known state-based formal method to analyze and specify software and hardware systems. As in other state-based formal methods, the proposed modeling languages for ASMs still lack easy-to-comprehend abstractions to structure state and behavior aspects of specifications. Modern object-oriented languages offer a variety of advanced language constructs, and most of them either offer interfaces, mixins, or traits in addition to classes and inheritance. Our goal is to investigate these language constructs in the context of state-based formal methods using ASMs as a representative of this kind of formal methods. We report on a controlled experiment with 105 participants to study the understandability of the three language constructs in the context of ASMs. Our hypotheses are influenced by the debate of object-oriented communities. We hypothesized that the understandability (measured by correctness and duration variables) shows significantly better understanding for interfaces and traits compared to mixins, as well as at least a similar or better understanding for traits compared to interfaces. The results indicate that understandability of interfaces and traits show a similar good understanding, whereas mixins shows a poorer understanding. We found a significant difference for the correctness of understanding comparing interfaces with mixins.","Abstract State Machines, Empirical software engineering, Understandability, Language constructs, Controlled experiment",,,,,,,,,,,,,,,,,,,,,
